date,maxTemp,minTemp,WindSpeed,RelativeHumidity,Precipitation
1/1/2012,28.47,24.58,3.4,77.44,0.17
2/1/2012,28.59,25.25,2.73,77,1.83
3/1/2012,26.72,25.98,1.02,82.12,11.77
4/1/2012,27.6,25.65,1.81,81.19,8.04
5/1/2012,28.13,25.65,2.45,76.38,2.06
6/1/2012,29,25.85,2.35,72.12,2.3
7/1/2012,29.46,24.8,3.3,72.88,0
8/1/2012,28.33,24.04,5.37,70.31,0
9/1/2012,28.58,23.14,5.06,69.62,0
10/1/2012,28.78,23.58,4.89,70.62,0
11/1/2012,29.03,24.15,4.96,71.31,0.06
12/1/2012,27.37,23.94,4.91,73.19,0.54
13/1/2012,28.8,23.76,3.52,71.25,0.18
14/1/2012,28.42,24.48,3,75.75,0.11
15/1/2012,27.2,25.66,2.2,80.12,3.31
16/1/2012,28.51,25.65,1.45,76.88,0.15
17/1/2012,28.48,26.31,1.62,76.75,1.65
18/1/2012,28.59,26.3,2.59,80.62,0.98
19/1/2012,27.89,26.35,2.4,82.56,3.23
20/1/2012,27.3,26.01,2.78,83.44,1.66
21/1/2012,27.83,26.28,2.97,82.19,1.84
22/1/2012,29.2,26.19,2.13,74.56,0.17
23/1/2012,29.19,26.77,1.21,71.75,1.37
24/1/2012,27.51,25.58,2.43,75.88,1.05
25/1/2012,29.23,26.62,2.2,71.5,0.23
26/1/2012,29.26,26.58,2.23,71.56,1.17
27/1/2012,28.53,26.58,1.78,75.19,1.96
28/1/2012,28.75,26.56,1.79,74.06,0.4
29/1/2012,27.86,26.66,1.35,75.75,5.43
30/1/2012,26.79,25.33,2.85,82.5,8.15
31/1/2012,27.68,24.69,3.82,79.94,9.47
1/2/2012,29.63,24.98,3.95,72.38,1.69
2/2/2012,28.69,26.75,2.24,75.19,1.82
3/2/2012,28.97,26.34,1.91,75.75,3.73
4/2/2012,26.98,26.43,2.07,83.25,2.28
5/2/2012,27.65,26.23,2.37,81.56,0.81
6/2/2012,29.02,26.39,2.68,78,0.03
7/2/2012,28.94,26.75,3.09,79.75,0
8/2/2012,29.15,26.54,2.79,80.44,0.02
9/2/2012,27.73,26.57,3.77,82.81,0.18
10/2/2012,28.55,26.63,3.1,76.94,0.17
11/2/2012,29.74,26.47,2.43,75.25,0.05
12/2/2012,28.87,26.93,2.3,75.88,0.08
13/2/2012,29.98,26.82,2.36,74,0.11
14/2/2012,29.83,26.69,2.96,77.44,0.11
15/2/2012,29.26,27.1,2.85,76.62,0.39
16/2/2012,29.42,27.33,2.75,78.69,1.69
17/2/2012,28.96,27.31,1.23,77.81,12.27
